=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.04.26 10:21:33 =~=~=~=~=~=~=~=~=~=~=~=
 
Start
Entering Main Loop

Enter kp in keypad
kp: 2
Enter kd in keypad
kd: 30
Heading: 792, PW right 2028, PW left 3502
Heading: 793, PW right 2028, PW left 3502
Heading: 809, PW right 2028, PW left 3502
Heading: 807, PW right 2028, PW left 3502
Heading: 813, PW right 2028, PW left 3502
Heading: 826, PW right 2028, PW left 3502
Heading: 846, PW right 2028, PW left 3502
Heading: 869, PW right 2028, PW left 3502
Heading: 907, PW right 2028, PW left 3502
Heading: 943, PW right 2028, PW left 3502
Heading: 995, PW right 2028, PW left 3502
Heading: 1047, PW right 2819, PW left 2711
Heading: 1110, PW right 2028, PW left 3502
Heading: 1178, PW right 3502, PW left 2028
Heading: 1263, PW right 2028, PW left 3502
Heading: 1384, PW right 2028, PW left 3502
Heading: 1540, PW right 2245, PW left 3285
Heading: 1811, PW right 3502, PW left 2028
Heading: 1909, PW right 2983, PW left 2547
Heading: 2022, PW right 3209, PW left 2321
Heading: 2142, PW right 3449, PW left 2081
Heading: 2407, PW right 3502, PW left 2028
Heading: 2519, PW right 3502, PW left 2028
Heading: 2629, PW right 3502, PW left 2028
Heading: 2732, PW right 3502, PW left 2028
Heading: 2824, PW right 3502, PW left 2028
Heading: 2903, PW right 3502, PW left 2028
Heading: 2951, PW right 3502, PW left 2028
Heading: 2981, PW right 3502, PW left 2028
Heading: 2972, PW right 3502, PW left 2028
Heading: 2944, PW right 3502, PW left 2028
Heading: 2896, PW right 3502, PW left 2028
Heading: 2823, PW right 3502, PW left 2028
Heading: 2740, PW right 3502, PW left 2028
Heading: 2649, PW right 3502, PW left 2028
Heading: 2466, PW right 2028, PW left 3502
Heading: 2466, PW right 3502, PW left 2028
Heading: 2127, PW right 2028, PW left 3502
Heading: 2127, PW right 3419, PW left 2111
Heading: 1952, PW right 2028, PW left 3502
Heading: 1952, PW right 3069, PW left 2461
Heading: 1881, PW right 2927, PW left 2603
Heading: 1813, PW right 2791, PW left 2739
Heading: 1455, PW right 2028, PW left 3502
Heading: 1455, PW right 2075, PW left 3455
Heading: 1330, PW right 2028, PW left 3502
Heading: 1204, PW right 2028, PW left 3502
Heading: 1155, PW right 2028, PW left 3502
Heading: 1126, PW right 2028, PW left 3502
Heading: 1109, PW right 2028, PW left 3502
Heading: 1110, PW right 2028, PW left 3502
Heading: 1112, PW right 2028, PW left 3502
Heading: 1125, PW right 2028, PW left 3502
Heading: 1148, PW right 2151, PW left 3379
Heading: 1186, PW right 2677, PW left 2853
Heading: 1186, PW right 2028, PW left 3502
Heading: 1278, PW right 3371, PW left 2159
Heading: 1356, PW right 3502, PW left 2028
Heading: 1440, PW right 3502, PW left 2028
Heading: 1583, PW right 2331, PW left 3199
Heading: 1802, PW right 3502, PW left 2028
Heading: 1871, PW right 2907, PW left 2623
Heading: 1938, PW right 3502, PW left 2028
Heading: 2010, PW right 3185, PW left 2345
Heading: 2097, PW right 3502, PW left 2028
Heading: 2186, PW right 3502, PW left 2028
Heading: 2413, PW right 3502, PW left 2028
Heading: 2477, PW right 3502, PW left 2028
Heading: 2530, PW right 3502, PW left 2028
Heading: 2568, PW right 3502, PW left 2028
Heading: 2591, PW right 3502, PW left 2028
Heading: 2599, PW right 3502, PW left 2028
Heading: 2588, PW right 3502, PW left 2028
Heading: 2567, PW right 3502, PW left 2028
Heading: 2530, PW right 3502, PW left 2028
Heading: 2484, PW right 3502, PW left 2028
Heading: 2428, PW right 3502, PW left 2028
Heading: 2210, PW right 2028, PW left 3502
Heading: 2129, PW right 3423, PW left 2107
Heading: 2049, PW right 3263, PW left 2267
Heading: 1973, PW right 3111, PW left 2419
Heading: 1904, PW right 2973, PW left 2557
Heading: 1835, PW right 2835, PW left 2695
Heading: 1709, PW right 2028, PW left 3502
Heading: 1541, PW right 2247, PW left 3283
Heading: 1437, PW right 2039, PW left 3491
Heading: 1353, PW right 2028, PW left 3502
Heading: 1311, PW right 2028, PW left 3502
Heading: 1283, PW right 2028, PW left 3502
Heading: 1281, PW right 2028, PW left 3502
Heading: 1279, PW right 2028, PW left 3502
Heading: 1296, PW right 2028, PW left 3502
Heading: 1335, PW right 2028, PW left 3502
Heading: 1377, PW right 2028, PW left 3502
Heading: 1439, PW right 2043, PW left 3487
Heading: 1550, PW right 2265, PW left 3265
Heading: 1704, PW right 2573, PW left 2957
Heading: 1834, PW right 2833, PW left 2697
Heading: 1894, PW right 2953, PW left 2577
Heading: 2016, PW right 3502, PW left 2028
Heading: 2016, PW right 3197, PW left 2333
Heading: 2153, PW right 3502, PW left 2028
Heading: 2153, PW right 3471, PW left 2059
Heading: 2423, PW right 3502, PW left 2028
Heading: 2423, PW right 3502, PW left 2028
Heading: 2488, PW right 3502, PW left 2028
Heading: 2488, PW right 3502, PW left 2028
Heading: 2496, PW right 3502, PW left 2028
Heading: 2491, PW right 3502, PW left 2028
Heading: 2447, PW right 3249, PW left 2281
Heading: 2447, PW right 3502, PW left 2028
Heading: 2208, PW right 2028, PW left 3502
Heading: 2136, PW right 2028, PW left 3502
Heading: 2136, PW right 3437, PW left 2093
Heading: 2001, PW right 2028, PW left 3502
Heading: 1939, PW right 2028, PW left 3502
Heading: 1876, PW right 2028, PW left 3502
Heading: 1813, PW right 2028, PW left 3502
Heading: 1617, PW right 2028, PW left 3502
Heading: 1617, PW right 2399, PW left 3131
Heading: 1391, PW right 2028, PW left 3502
Heading: 1331, PW right 2028, PW left 3502
Heading: 1289, PW right 2028, PW left 3502
Heading: 1267, PW right 2028, PW left 3502
Heading: 1266, PW right 2028, PW left 3502
Heading: 1265, PW right 2028, PW left 3502
Heading: 1284, PW right 2303, PW left 3227
Heading: 1324, PW right 3013, PW left 2517
Heading: 1361, PW right 2997, PW left 2533
Heading: 1422, PW right 2028, PW left 3502
Heading: 1522, PW right 3502, PW left 2028
Heading: 1662, PW right 2489, PW left 3041
Heading: 1818, PW right 3502, PW left 2028
Heading: 1879, PW right 2923, PW left 2607
Heading: 1942, PW right 3502, PW left 2028
Heading: 1989, PW right 3143, PW left 2387
Heading: 2057, PW right 3502, PW left 2028
Heading: 2129, PW right 3423, PW left 2107
Heading: 2189, PW right 3502, PW left 2028
Heading: 2392, PW right 3502, PW left 2028
Heading: 2427, PW right 3502, PW left 2028
Heading: 2449, PW right 3502, PW left 2028
Heading: 2456, PW right 3502, PW left 2028
Heading: 2449, PW right 3502, PW left 2028
Heading: 2431, PW right 3502, PW left 2028
Heading: 2403, PW right 3502, PW left 2028
Heading: 2219, PW right 3502, PW left 2028
Heading: 2160, PW right 3485, PW left 2045
Heading: 2097, PW right 3359, PW left 2171
Heading: 2035, PW right 3235, PW left 2295
Heading: 1973, PW right 3111, PW left 2419
Heading: 1914, PW right 2993, PW left 2537
Heading: 1853, PW right 2871, PW left 2659
Heading: 1771, PW right 2707, PW left 2823
Heading: 1599, PW right 2363, PW left 3167
Heading: 1490, PW right 2145, PW left 3385
Heading: 1398, PW right 2028, PW left 3502
Heading: 1352, PW right 2028, PW left 3502
Heading: 1313, PW right 2028, PW left 3502
Heading: 1314, PW right 2028, PW left 3502
Heading: 1310, PW right 2028, PW left 3502
Heading: 1328, PW right 2028, PW left 3502
Heading: 1371, PW right 2028, PW left 3502
Heading: 1486, PW right 3502, PW left 2028
Heading: 1486, PW right 2137, PW left 3393
Heading: 1751, PW right 3502, PW left 2028
Heading: 1751, PW right 2667, PW left 2863
Heading: 1897, PW right 3502, PW left 2028
Heading: 1897, PW right 2959, PW left 2571
Heading: 1954, PW right 3073, PW left 2457
Heading: 2003, PW right 3171, PW left 2359
Heading: 2053, PW right 3271, PW left 2259
Heading: 2114, PW right 3393, PW left 2137
Heading: 2207, PW right 3502, PW left 2028
Heading: 2207, PW right 3502, PW left 2028
Heading: 2384, PW right 3502, PW left 2028
Heading: 2399, PW right 3502, PW left 2028
Heading: 2395, PW right 3502, PW left 2028
Heading: 2206, PW right 2028, PW left 3502
Heading: 2179, PW right 2713, PW left 2817
Heading: 2134, PW right 2083, PW left 3447
Heading: 2087, PW right 2028, PW left 3502
Heading: 2039, PW right 2028, PW left 3502
Heading: 2039, PW right 3243, PW left 2287
Heading: 1941, PW right 2028, PW left 3502
Heading: 1893, PW right 2028, PW left 3502
Heading: 1846, PW right 2028, PW left 3502
Heading: 1846, PW right 2857, PW left 2673
Heading: 1637, PW right 2028, PW left 3502
Heading: 1525, PW right 2028, PW left 3502
Heading: 1439, PW right 2028, PW left 3502
Heading: 1373, PW right 2028, PW left 3502
Heading: 1343, PW right 2028, PW left 3502
Heading: 1326, PW right 2028, PW left 3502
Heading: 1325, PW right 2028, PW left 3502
Heading: 1341, PW right 2028, PW left 3502
Heading: 1373, PW right 2871, PW left 2659
Heading: 1421, PW right 3447, PW left 2083
Heading: 1483, PW right 3502, PW left 2028
Heading: 1593, PW right 2351, PW left 3179
Heading: 1746, PW right 3502, PW left 2028
Heading: 1836, PW right 2837, PW left 2693
Heading: 1892, PW right 3502, PW left 2028
Heading: 1947, PW right 3059, PW left 2471
Heading: 1993, PW right 3151, PW left 2379
Heading: 2041, PW right 3247, PW left 2283
Heading: 2099, PW right 3363, PW left 2167
Heading: 2147, PW right 3459, PW left 2071
Heading: 2185, PW right 3502, PW left 2028
Heading: 2210, PW right 3502, PW left 2028
Heading: 2221, PW right 3502, PW left 2028
Heading: 2218, PW right 3502, PW left 2028
Heading: 2200, PW right 3502, PW left 2028
Heading: 2179, PW right 2893, PW left 2637
Heading: 2139, PW right 3443, PW left 2087
Heading: 2095, PW right 2035, PW left 3495
Heading: 2041, PW right 3247, PW left 2283
Heading: 1989, PW right 3143, PW left 2387
Heading: 1933, PW right 3031, PW left 2499
Heading: 1879, PW right 2923, PW left 2607
Heading: 1824, PW right 2813, PW left 2717
Heading: 1682, PW right 2529, PW left 3001
Heading: 1545, PW right 2255, PW left 3275
Heading: 1454, PW right 2073, PW left 3457
Heading: 1380, PW right 2028, PW left 3502
Heading: 1348, PW right 2028, PW left 3502
Heading: 1328, PW right 2028, PW left 3502
Heading: 1326, PW right 2028, PW left 3502
Heading: 1337, PW right 2028, PW left 3502
Heading: 1411, PW right 3367, PW left 2163
Heading: 1411, PW right 2028, PW left 3502
Heading: 1567, PW right 3502, PW left 2028
Heading: 1567, PW right 2299, PW left 3231
Heading: 1826, PW right 3502, PW left 2028
Heading: 1826, PW right 2817, PW left 2713
Heading: 1935, PW right 3502, PW left 2028
Heading: 1935, PW right 3035, PW left 2495
Heading: 2030, PW right 3502, PW left 2028
Heading: 2030, PW right 3225, PW left 2305
Heading: 2135, PW right 3502, PW left 2028
Heading: 2135, PW right 3435, PW left 2095
Heading: 2198, PW right 3502, PW left 2028
Heading: 2198, PW right 3502, PW left 2028
Heading: 2207, PW right 3502, PW left 2028
Heading: 2192, PW right 3099, PW left 2431
Heading: 2171, PW right 2877, PW left 2653
Heading: 2135, PW right 2355, PW left 3175
Heading: 2091, PW right 2028, PW left 3502
Heading: 2040, PW right 2028, PW left 3502
Heading: 1989, PW right 2028, PW left 3502
Heading: 1936, PW right 2028, PW left 3502
Heading: 1883, PW right 2028, PW left 3502
Heading: 1827, PW right 2028, PW left 3502
Heading: 1706, PW right 2028, PW left 3502
Heading: 1566, PW right 2028, PW left 3502
Heading: 1474, PW right 2028, PW left 3502
Heading: 1398, PW right 2028, PW left 3502
Heading: 1361, PW right 2028, PW left 3502
Heading: 1331, PW right 2028, PW left 3502
Heading: 1341, PW right 2028, PW left 3502
Heading: 1347, PW right 2039, PW left 3491
Heading: 1373, PW right 2691, PW left 2839
Heading: 1409, PW right 3063, PW left 2467
Heading: 1474, PW right 3502, PW left 2028
Heading: 1568, PW right 3502, PW left 2028
Heading: 1701, PW right 2567, PW left 2963
Heading: 1828, PW right 3502, PW left 2028
Heading: 1880, PW right 2925, PW left 2605
Heading: 1917, PW right 3502, PW left 2028
Heading: 1977, PW right 3119, PW left 2411
Heading: 2030, PW right 3225, PW left 2305
Heading: 2083, PW right 3331, PW left 2199
Heading: 2129, PW right 3423, PW left 2107
Heading: 2163, PW right 3491, PW left 2039
Heading: 2185, PW right 3502, PW left 2028
Heading: 2195, PW right 3502, PW left 2028
Heading: 2191, PW right 3502, PW left 2028
Heading: 2179, PW right 3502, PW left 2028
Heading: 2158, PW right 3481, PW left 2049
Heading: 2126, PW right 2457, PW left 3073
Heading: 2081, PW right 3327, PW left 2203
Heading: 2037, PW right 2028, PW left 3502
Heading: 1987, PW right 3139, PW left 2391
Heading: 1940, PW right 3045, PW left 2485
Heading: 1890, PW right 2945, PW left 2585
Heading: 1838, PW right 2841, PW left 2689
Heading: 1757, PW right 2679, PW left 2851
Heading: 1611, PW right 2387, PW left 3143
Heading: 1511, PW right 2187, PW left 3343
Heading: 1449, PW right 2063, PW left 3467
Heading: 1396, PW right 2028, PW left 3502
Heading: 1381, PW right 2028, PW left 3502
Heading: 1379, PW right 2028, PW left 3502
Heading: 1385, PW right 2028, PW left 3502
Heading: 1417, PW right 2028, PW left 3502
Heading: 1481, PW right 2127, PW left 3403
Heading: 1553, PW right 2271, PW left 3259
Heading: 1812, PW right 3502, PW left 2028
Heading: 1812, PW right 2789, PW left 2741
Heading: 1915, PW right 3502, PW left 2028
Heading: 1915, PW right 2995, PW left 2535] 
Start
Entering Main Loop

Enter kp in keypad
kp: 1
Enter kd in keypad
kd: 30
Heading: 790, PW right 2028, PW left 3502
Heading: 805, PW right 2220, PW left 3310
Heading: 806, PW right 2028, PW left 3502
Heading: 810, PW right 2028, PW left 3502
Heading: 810, PW right 2028, PW left 3502
Heading: 835, PW right 2280, PW left 3250
Heading: 855, PW right 2028, PW left 3502
Heading: 885, PW right 2750, PW left 2780
Heading: 915, PW right 2028, PW left 3502
Heading: 953, PW right 3058, PW left 2472
Heading: 1000, PW right 2028, PW left 3502
Heading: 1048, PW right 3453, PW left 2077
Heading: 1105, PW right 2070, PW left 3460
Heading: 1157, PW right 3502, PW left 2028
Heading: 1220, PW right 2185, PW left 3345
Heading: 1388, PW right 2353, PW left 3177
Heading: 1517, PW right 3502, PW left 2028
Heading: 1710, PW right 2675, PW left 2855
Heading: 1839, PW right 2804, PW left 2726
Heading: 1901, PW right 2866, PW left 2664
Heading: 1962, PW right 2927, PW left 2603
Heading: 2020, PW right 2985, PW left 2545
Heading: 2073, PW right 3038, PW left 2492
Heading: 2122, PW right 3087, PW left 2443
Heading: 2166, PW right 3131, PW left 2399
Heading: 2203, PW right 3168, PW left 2362
Heading: 2233, PW right 3198, PW left 2332
Heading: 2396, PW right 3361, PW left 2169
Heading: 2403, PW right 3368, PW left 2162
Heading: 2398, PW right 3363, PW left 2167
Heading: 2390, PW right 3355, PW left 2175
Heading: 2219, PW right 3184, PW left 2346
Heading: 2189, PW right 3154, PW left 2376
Heading: 2152, PW right 3117, PW left 2413
